area,ex_exit,nw_exit,secs,ex_od_pre,ex_od_now,nw_od_pre,nw_od_now,nw_od_growth,pre_unreach_pop,pre_unreach_pct,pre_mean_t
Netherlands,0,0,24,2595474,2595474,37726418,37726418,0.0,0,0.0,3.4754
Luxembourg,0,0,9,146442,146442,2111042,2111042,0.0,0,0.0,3.7874
Estonia,0,0,13,1356914,1356802,9835514,9834962,-5.612314719904976e-05,0,0.0,4.5122
Latvia,0,0,14,2455538,2455538,16269770,16269770,0.0,0,0.0,3.9575
Slovenia,0,0,16,1132594,1132594,25335098,25335098,0.0,0,0.0,5.5826
Lithuania,0,0,15,2825826,2825826,32211370,32211370,0.0,0,0.0,4.3928
Ireland,0,0,23,4671146,4671146,76757178,76757178,0.0,0,0.0,4.7137
Norway,1,1,98,3249082,3249082,52876330,52876330,0.0,3696,0.07232791787180581,7.9879
Denmark,0,0,28,3148298,3148298,72001882,72001882,0.0,0,0.0,6.5227
Austria,0,0,37,3599890,3599890,90635314,90635314,0.0,0,0.0,4.8218
Portugal,0,0,39,3436426,3436426,42444730,47003218,0.10739820938901024,459683,4.462776234900803,8.5576
Czechia,0,0,30,3748562,3748562,56917298,56917298,0.0,0,0.0,4.2346
Belgium,0,0,18,2173922,2173922,16204442,16204442,0.0,0,0.0,1.8656
Poland,0,0,68,17067810,17067810,274326586,274326586,0.0,,,3.5948
FR1,0,0,141,731898,731898,6099690,6099690,0.0,0,0.0,1.035
FRB,0,0,162,2379122,2379122,28339738,28339738,0.0,0,0.0,4.3595
FRC,0,0,139,2357018,2356778,30262922,30260818,-6.95240201854519e-05,0,0.0,4.7804
FRD,0,0,140,2288770,2287634,38325234,38285474,-0.001037436588123608,0,0.0,4.3128
FRE,0,0,136,1796674,1796138,21467874,21467562,-1.4533344102951595e-05,0,0.0,2.9158
FRF,0,0,131,2127058,2126610,27203522,27196290,-0.00026584792954387204,0,0.0,3.8516
FRG,0,0,174,2583234,2581834,30908146,30909562,4.581316524121526e-05,0,0.0,4.0607
FRH,0,0,131,2298354,2286090,28704058,28569090,-0.004702052929240863,0,0.0,4.3418
FRI,0,0,141,5696810,5698074,70791146,70801610,0.0001478150954075108,0,0.0,4.5418
FRJ,0,0,132,4388930,4388522,46540402,46532562,-0.00016845578600721556,0,0.0,3.9052
FRK,0,0,132,4278402,4278322,51100114,51099074,-2.0352205085116815e-05,0,0.0,3.6225
FRL,0,0,119,1329474,1327466,11448746,11437362,-0.0009943447081453005,0,0.0,2.6034
FRM,0,0,113,249450,248570,2706794,2705514,-0.00047288415742019474,0,0.0,5.107
ITC,0,0,123,3072002,3070858,24776874,24782554,0.00022924602998752874,0,0.0,2.9303
ITF,0,0,132,3268314,3266362,58553930,58599282,0.000774533835730562,0,0.0,6.673
ITG,0,0,119,1550610,1550610,14077522,14077522,0.0,983169,15.720979630839548,22.2972
ITH,0,0,127,3463370,3461818,43962378,43945850,-0.0003759578246654849,0,0.0,4.196
ITI,0,0,126,3347898,3347658,44145170,44145490,7.24881113844944e-06,91,0.0007777668757463571,4.1854
SE1,0,0,122,2064706,2014074,27256754,26472634,-0.028767915651291442,6,0.00014710172820013681,5.4132
SE2,1,1,155,3812602,3812602,58113962,58113962,0.0,32226,0.7327316593691359,8.0533
SE3,1,1,133,2438666,2438666,33520458,33520458,0.0,475,0.027326271074307896,9.4632
PL2,0,0,126,1830322,1830074,25594162,25584410,-0.00038102439142173594,0,0.0,3.2063
PL4,0,0,124,2885890,2885802,41494978,41449394,-0.0010985425754412859,0,0.0,3.6593
PL5,0,0,120,1296034,1295274,17839138,17828714,-0.0005843331667707563,0,0.0,3.4123
PL6,0,0,130,3232034,3231858,50704730,50705218,9.624348655368209e-06,0,0.0,3.7756
PL7,0,0,121,1955786,1955786,36631114,36631114,0.0,0,0.0,3.8409
PL8,0,0,138,2436490,3318570,41478066,53059858,0.27922690513101545,153669,3.2872125167736206,8.8887
PL9,0,0,154,2365834,2365834,44178938,44178938,0.0,0,0.0,3.1952
