"area","ex_exit","nw_exit","secs"
"Denmark","0","0","16"
"Austria","0","0","19"
"Portugal","0","0","16"
"Czechia","0","0","14"
"Belgium","0","0","5"
"Poland","0","0","49"
"FR1","0","0","40"
"FRB","0","0","45"
"FRC","0","0","45"
"FRD","0","0","73"
"FRE","0","0","43"
"FRF","0","0","52"
"FRG","0","0","49"
"FRH","0","0","50"
"FRI","0","0","59"
"FRJ","0","0","58"
"FRK","0","0","51"
"FRL","0","0","42"
"FRM","0","0","49"
"ITC","0","0","45"
"ITF","0","0","52"
"ITG","0","0","67"
"ITH","0","0","59"
"ITI","0","0","47"
"SE1","0","0","64"
"PL2","0","0","74"
"PL4","0","0","70"
"PL5","0","0","42"
"PL6","0","0","86"
"PL7","0","0","83"
"PL8","0","0","82"
"PL9","0","0","81"
