"area","ex_exit","ex_secs","ex_od","ex_i","nw_exit","nw_secs","nw_od","nw_i","total_secs"
"Norway","0","48","3249082","608082","0","55","52876330","608082","103"
"SE2","0","66","3878986","650322","0","73","58931306","650322","139"
"SE3","0","65","2425930","450482","0","71","33652762","450482","136"
