region,func,B_x,B_y,S1_y,S2_x,rect_area,rect_rel,cross_x,cross_y,lambda_cross,s1_bracketed,s2_bracketed
FRM,LOGISTIC,87,45103,39691,56.8,1.634e+05,0.04164,71.0,42238,184.2,True,True
ITC,LINEAR,3875,29840813,22162486,2945.5,7.137e+09,0.06172,3403.6,25946503,8385.6,True,True
ITC,LOGISTIC,3875,1467683,1397192,2964.4,6.419e+07,0.01129,3398.6,1430806,77.4,True,True
ITF,LINEAR,3187,26839302,19377079,2368.8,6.105e+09,0.07138,2755.7,22905324,9178.5,True,True
ITF,LOGISTIC,3187,1260139,1187371,2377.4,5.891e+07,0.01467,2766.1,1222304,90.9,True,True
ITG,LINEAR,1431,12614581,8922039,1072.5,1.324e+09,0.07334,1241.6,10663505,10254.9,True,True
ITG,LOGISTIC,1431,595400,558060,1064.3,1.369e+07,0.01607,1235.7,575506,101.4,True,True
ITH,LINEAR,2993,32030405,25622766,2281.6,4.558e+09,0.04755,2623.9,28705995,9041.8,True,True
ITH,LOGISTIC,2993,1169908,1104082,2251.0,4.884e+07,0.01395,2606.0,1135581,89.0,True,True
ITI,LINEAR,2709,27077951,20956189,2049.5,4.037e+09,0.05504,2364.6,23881082,9285.5,True,True
ITI,LOGISTIC,2709,1138518,1077476,2039.0,4.089e+07,0.01326,2357.1,1106459,91.6,True,True
SE1,LINEAR,387,23310739,16971210,220.8,1.054e+09,0.11683,297.9,19913787,37182.0,True,True
SE1,LOGISTIC,387,571510,487998,200.4,1.558e+07,0.07046,283.6,525234,469.6,True,True
SE2,LINEAR,452,32421787,25281323,278.3,1.241e+09,0.08465,359.2,28605816,41545.9,True,True
SE2,LOGISTIC,452,715530,603668,260.1,2.147e+07,0.06637,347.1,654400,578.6,True,True
SE3,LINEAR,246,16444582,13513244,167.7,2.295e+08,0.05672,203.9,14867796,37623.7,True,True
SE3,LOGISTIC,246,348816,295229,158.8,4.672e+06,0.05445,198.7,319744,626.2,True,True
PL2,LINEAR,1442,24487849,19413538,1022.5,2.129e+09,0.06029,1220.8,21812430,12129.3,True,True
PL2,LOGISTIC,1442,811247,752603,978.8,2.716e+07,0.02322,1194.4,779895,126.3,True,True
PL4,LINEAR,1200,21495118,17964583,905.7,1.039e+09,0.04028,1049.7,19692253,11984.9,True,True
PL4,LOGISTIC,1200,675702,625957,833.8,1.822e+07,0.02247,1006.0,649348,136.8,True,True
PL5,LINEAR,688,12763464,10445550,508.2,4.168e+08,0.04747,593.9,11550170,12824.9,True,True
PL5,LOGISTIC,688,411217,380102,470.3,6.774e+06,0.02394,572.0,394637,141.1,True,True
PL6,LINEAR,1023,21062505,17249949,754.7,1.023e+09,0.04747,880.8,19041887,14083.8,True,True
PL6,LOGISTIC,1023,642344,588492,698.8,1.746e+07,0.02657,850.1,613628,168.0,True,True
PL7,LINEAR,675,13580945,11479969,506.1,3.549e+08,0.03872,586.2,12477067,12466.2,True,True
PL7,LOGISTIC,675,404577,375529,469.6,5.967e+06,0.02185,565.2,389042,141.0,True,True
PL8,LINEAR,1065,22928948,18898579,755.1,1.249e+09,0.05115,901.3,20800195,13053.2,True,True
PL8,LOGISTIC,1065,618647,562620,701.4,2.037e+07,0.03092,870.5,588680,153.7,True,True
PL9,LINEAR,933,17516050,14267198,691.5,7.847e+08,0.04802,806.2,15810743,13446.6,True,True
PL9,LOGISTIC,933,590862,548421,648.8,1.206e+07,0.02188,781.2,568191,149.3,True,True
