region,func,w,lambda_eur,n_open,sum_y_lp,travelcost_multistart,travelcost_lp_relaxation,facilitycost_eur,totalcost_eur,mean_traveltime_min,frac_open,baseline_facilities,baseline_travelcost,on_pareto_frontier
FRJ,LINEAR,0.096803,9680.30,1417,1417.000,19971933,19970305,13716985,33688918,3.3231,50,1424,23466796,True
FRJ,LINEAR,0.097857,9785.70,1405,1405.000,20088882,20086873,13748909,33837790,3.3425,56,1424,23466796,True
FRJ,LINEAR,0.1,10000.00,1383,1383.000,20312642,20310198,13830000,34142642,3.6889,56,1424,23466796,True
FRJ,LINEAR,0.12516,12516.00,1164,1164.000,22754867,22752923,14568624,37323491,3.7861,26,1424,23466796,True
FRJ,LINEAR,0.13365,13365.00,1117,1116.750,23363767,23364067,14928705,38292472,3.8874,42,1424,23466796,True
FRJ,LINEAR,0.13586,13586.00,1108,1107.750,23485277,23485263,15053288,38538565,3.9076,40,1424,23466796,True
FRJ,LINEAR,0.13811,13811.00,1101,1100.750,23581456,23581034,15205911,38787367,3.9236,48,1424,23466796,True
FRJ,LINEAR,0.14271,14271.00,1062,1061.750,24130863,24128407,15155802,39286665,4.015,79,1424,23466796,True
FRJ,LINEAR,0.16271,16271.00,967,967.000,25582816,25577662,15734057,41316873,4.2566,65,1424,23466796,True
FRJ,LINEAR,0.2,20000.00,823,823.000,28204375,28189266,16460000,44664375,4.9697,96,1424,23466796,True
FRJ,LINEAR,0.5,50000.00,428,428.420,41826106,40260608,21400000,63226106,7.4357,212,1424,23466796,True
FRJ,LOGISTIC,0.0001,10.00,5692,5692.500,506989,506983,56920,563909,1.2624,32,1424,694425,True
FRJ,LOGISTIC,0.0002,20.00,3968,3967.670,531549,531550,79360,610909,1.709,60,1424,694425,True
FRJ,LOGISTIC,0.0005,50.00,2308,2307.830,584002,583980,115400,699402,2.6298,137,1424,694425,True
FRJ,LOGISTIC,0.001,100.00,1432,1432.160,646114,645906,143200,789314,3.6412,235,1424,694425,True
FRJ,LOGISTIC,0.0010109,101.09,1425,1424.670,646650,646523,144053,790703,3.3483,216,1424,694425,True
