study_area,n_pharmacies,n_pharmacy_cells,n_residents,residents_per_pharmacy,n_cells_multi,avg_pharm_in_multi,max_pharm_in_cell,cell_min,cell_p10,cell_p25,cell_p50,cell_p75,cell_p90,cell_max,cell_avg,pharm_min,pharm_p10,pharm_p25,pharm_p50,pharm_p75,pharm_p90,pharm_max,pharm_avg
Austria,1467,1131,8931593,6088.3,182,2.8,8,0,3271.0,4858.5,6862,9494.5,12894.0,33771,7768.1,0,2421.7,3866.8,5611,7486.5,9939.2,24799,5988.9
Belgium,4860,2963,11531275,2372.7,870,3.2,18,0,1638.4,2279,3292,4662.5,6546.4,29568,3876.5,0,960,1464.5,2122,3015.2,4034.6,10019,2363.4
Czechia,2668,1627,10491072,3932.2,546,2.9,14,0,2105.0,3635,5663,8340.5,11628.8,27426,6375.9,0,1165.3,2022.0,3425,5074,7165.5,18348,3888.2
Denmark,536,466,5754667,10736.3,54,2.3,4,0,4286.0,6984.2,10269,14232.2,19329.0,35188,10964.5,0,3124,6470.2,8864.5,12194.8,16550.5,35188,9532.6
Estonia,491,292,1318036,2684.4,111,2.8,6,0,1071.6,2022.2,3262,5357.2,8028.9,20604,4228.0,0,719.8,1340.3,2051,3172,4594.0,20604,2514.4
France,20698,13863,65306616,3155.2,3376,3.0,25,0,1398.2,2498,3895,5801,8365.6,51246,4621.0,0,1126.8,1856,2805.4,4013.8,5436,17502,3095.0
Ireland,1652,865,4997217,3024.9,345,3.3,14,0,2089.4,3200,4834,7029,10040.0,28024,5568.5,0,853.4,1443.5,2324.5,3727.5,5578,16940,2915.7
Italy,20637,12991,58720037,2845.4,3200,3.4,247,0,523.0,1349.5,3126,6000.5,10104.0,44339,4470.0,0,227.6,849.1,2007,3731.7,6152.8,37511,2813.9
Latvia,818,496,1892123,2313.1,164,3.0,13,16,677.5,1221,2514,4982,7865.5,16564,3528.4,16,586.8,958.8,1743.8,2790.5,4148.3,16564,2139.5
Lithuania,1253,582,2806212,2239.6,271,3.5,15,25,1431.6,2331,3645.5,6318.2,8930.0,24536,4579.4,25,670.7,1028.6,1689,2699.5,4247.8,13729,2127.1
Luxembourg,105,86,634435,6042.2,11,2.7,5,600,3341,5184,6705,9573.5,11595.5,22601,7302.2,600,2905.5,3594,5609.5,7500,10045.0,13911,5980.9
Netherlands,1992,1617,17459056,8764.6,295,2.3,7,0,4345.8,6742,10125,13796,17812.2,34905,10739.0,0,2617.8,5032,7862.5,11896.8,15502.9,33313,8717.4
Norway,1057,758,5110060,4834.5,189,2.6,9,0,2027.8,3490,5459.5,8508.5,12195.8,26870,6432.3,0,1504.6,2625.7,3973,6021,8388.8,22906,4612.8
Poland,13791,7030,37067330,2687.8,2864,3.4,17,0,1787.9,2864.2,4438,6700.5,9589.7,26161,5158.7,0,868,1416.2,2230.5,3388.7,4860.0,19078,2629.7
Portugal,2801,1893,10308403,3680.3,483,2.9,11,0,1554.0,2579,4169,6649,9778.4,32667,5093.1,0,1158.0,1836,2861,4377,6441.0,19709,3442.1
Slovenia,355,306,2100749,5917.6,38,2.3,4,588,2809.5,4127.5,5964,8559.8,11173.0,22487,6742.2,588,2337.7,3484,5151.5,7597.5,9963.6,20521,5811.6
Sweden,1448,1088,10249068,7078.1,239,2.5,9,0,2695.7,4677.8,8024,11846.8,17128.7,36083,9020.6,0,1980,3570.2,5755.5,9166.5,12383.5,36083,6777.9
