region,func,B_x,B_y,S1_y,S2_x,rect_area,rect_rel,cross_x,cross_y,lambda_cross,s1_bracketed,s2_bracketed
Czechia,LOGISTIC,1624,1252023,1140494,1037.2,6.545e+07,0.03219,1296.7,1189820,210.0,True,True
Belgium,LINEAR,2958,21512721,18312331,2438.3,1.663e+09,0.02613,2694.0,19886650,6538.4,True,True
Belgium,LOGISTIC,2958,1058740,1027269,2405.8,1.738e+07,0.00555,2671.0,1042383,57.9,True,True
Poland,LINEAR,7027,133247698,109499211,5144.0,4.472e+10,0.04776,6057.3,121017482,12898.2,True,True
Poland,LOGISTIC,7027,4144216,3832138,4819.7,6.888e+08,0.02365,5833.4,3975450,142.3,True,True
FR1,LINEAR,1449,12744099,9817930,1230.7,6.387e+08,0.03459,1333.4,11194373,14003.5,True,True
FR1,LOGISTIC,1449,1049065,1019504,1211.9,7.010e+06,0.00461,1328.0,1033984,128.9,True,True
FRB,LINEAR,613,11226086,9703335,482.9,1.981e+08,0.02878,545.9,10440236,11649.4,True,True
FRB,LOGISTIC,613,308837,287962,453.9,3.321e+06,0.01754,529.1,297834,135.3,True,True
FRC,LINEAR,723,13380519,11664121,592.7,2.236e+08,0.02312,656.0,12497379,11746.2,True,True
FRC,LOGISTIC,723,351067,325120,526.4,5.101e+06,0.02010,619.5,337409,135.9,True,True
FRD,LINEAR,679,14221162,12527060,559.7,2.021e+08,0.02093,619.3,13374111,13631.4,True,True
FRD,LOGISTIC,679,391116,366337,504.4,4.326e+06,0.01629,585.5,377851,145.7,True,True
FRE,LINEAR,1333,17457829,15120148,1079.0,5.937e+08,0.02551,1195.3,16190284,10291.3,True,True
FRE,LOGISTIC,1333,618978,589776,1025.0,8.995e+06,0.01090,1165.4,603085,104.5,True,True
FRF,LINEAR,1167,21419958,18538086,963.4,5.868e+08,0.02348,1065.2,19979022,13177.5,True,True
FRF,LOGISTIC,1167,636271,594488,858.1,1.291e+07,0.01738,1003.5,614153,139.2,True,True
FRG,LINEAR,848,15578182,13553090,703.6,2.924e+08,0.02213,775.8,14565636,13441.8,True,True
FRG,LOGISTIC,848,446298,416397,628.8,6.556e+06,0.01732,731.6,430420,140.9,True,True
FRH,LINEAR,793,14518478,12331122,631.4,3.534e+08,0.03070,710.8,13405829,12210.9,True,True
FRH,LOGISTIC,793,397397,369519,580.9,5.912e+06,0.01876,681.7,382759,134.5,True,True
FRI,LINEAR,1584,27489201,25098390,1288.4,7.068e+08,0.01623,1426.1,26212505,9700.3,True,True
FRI,LOGISTIC,1584,740669,685200,1136.6,2.482e+07,0.02115,1351.1,711802,126.2,True,True
FRJ,LINEAR,1424,23475079,20022028,1158.6,9.165e+08,0.02742,1286.0,21679626,11732.2,True,True
FRJ,LOGISTIC,1424,694593,647061,1047.3,1.790e+07,0.01810,1229.7,670073,128.3,True,True
FRK,LINEAR,1685,29391918,25177763,1384.9,1.265e+09,0.02553,1535.0,27284841,12440.0,True,True
FRK,LOGISTIC,1685,911790,854330,1245.1,2.528e+07,0.01645,1454.7,881711,134.7,True,True
FRL,LINEAR,1026,13139212,10357689,785.5,6.689e+08,0.04961,903.6,11723607,11927.5,True,True
FRL,LOGISTIC,1026,515294,480712,740.0,9.891e+06,0.01871,877.7,497362,124.4,True,True
FRM,LINEAR,87,1699854,1386417,61.7,7.929e+06,0.05362,73.9,1537599,12977.5,True,True
FRM,LOGISTIC,87,45212,40269,57.0,1.485e+05,0.03776,70.8,42541,187.1,True,True
ITC,LINEAR,2890,46395716,30782857,1788.9,1.719e+10,0.12821,2339.1,38584609,15375.1,True,True
ITC,LOGISTIC,2890,1651495,1476345,1694.4,2.094e+08,0.04387,2277.9,1561817,155.6,True,True
ITF,LINEAR,1253,88928581,48180883,520.5,2.985e+10,0.26786,825.2,65129346,52806.9,True,True
ITF,LOGISTIC,1253,2110282,1512134,469.9,4.684e+08,0.17714,772.1,1742976,775.7,True,True
ITG,LINEAR,884,139443726,60919149,281.7,4.729e+10,0.38366,536.7,94167224,141994.2,True,True
ITG,LOGISTIC,884,1641477,989853,292.5,3.854e+08,0.26562,542.0,1264735,1155.6,True,True
ITH,LINEAR,2079,48368317,34808964,1254.4,1.118e+10,0.11120,1634.0,41050950,17207.4,True,True
ITH,LOGISTIC,2079,1368181,1200029,1134.2,1.589e+08,0.05585,1551.6,1274319,192.3,True,True
ITI,LINEAR,1631,48969470,33650563,956.2,1.034e+10,0.12944,1270.3,40781793,23434.2,True,True
ITI,LOGISTIC,1631,1406410,1213007,857.5,1.496e+08,0.06522,1198.5,1298261,269.6,True,True
SE1,LINEAR,388,22079543,17234672,245.0,6.929e+08,0.08088,312.5,19520922,34859.3,True,True
SE1,LOGISTIC,388,572671,487755,201.9,1.580e+07,0.07112,286.7,526430,468.6,True,True
SE2,LINEAR,452,35418726,27187721,264.6,1.543e+09,0.09636,352.4,31046054,45041.2,True,True
SE2,LOGISTIC,452,747222,634723,251.4,2.257e+07,0.06682,337.6,683072,628.1,True,True
SE3,LINEAR,246,16449419,13587174,166.7,2.269e+08,0.05608,204.1,14936779,39053.7,True,True
SE3,LOGISTIC,246,350237,299442,157.6,4.488e+06,0.05209,196.5,321804,631.8,True,True
PL2,LINEAR,1442,24491508,19527267,1022.6,2.082e+09,0.05896,1224.4,21916152,12327.8,True,True
PL2,LOGISTIC,1442,811321,754139,979.8,2.643e+07,0.02259,1195.9,780878,127.6,True,True
PL4,LINEAR,1200,22067972,18066580,911.9,1.153e+09,0.04354,1054.9,20053289,12941.4,True,True
PL4,LOGISTIC,1200,684572,627895,796.0,2.290e+07,0.02787,982.0,653991,143.9,True,True
PL5,LINEAR,688,12773809,10492067,508.0,4.106e+08,0.04672,594.5,11588965,13249.2,True,True
PL5,LOGISTIC,688,411410,380703,470.2,6.686e+06,0.02362,570.6,394852,141.6,True,True
PL6,LINEAR,1023,21066830,17564035,775.6,8.664e+08,0.04020,899.3,19315432,15039.9,True,True
PL6,LOGISTIC,1023,642435,592659,699.4,1.611e+07,0.02451,855.0,616602,173.9,True,True
PL7,LINEAR,675,13580945,11479969,526.9,3.111e+08,0.03393,601.0,12530457,12869.5,True,True
PL7,LOGISTIC,675,404577,375955,470.0,5.868e+06,0.02149,564.5,389147,141.3,True,True
PL8,LINEAR,1065,41552629,28998423,546.9,6.505e+09,0.14699,778.7,34616669,24623.9,True,True
PL8,LOGISTIC,1065,982979,767497,530.1,1.153e+08,0.11010,754.9,858055,369.2,True,True
PL9,LINEAR,933,17516050,14471790,716.1,6.602e+08,0.04040,824.6,15993920,14396.7,True,True
PL9,LOGISTIC,933,590862,549271,648.8,1.182e+07,0.02144,780.0,568475,148.8,True,True
