region,func,B_x,B_y,S1_y,S2_x,rect_area,rect_rel,cross_x,cross_y,lambda_cross,s1_bracketed,s2_bracketed
Netherlands,LINEAR,1615,60676723,48585090,1172.5,5.351e+09,0.05461,1381.9,54306907,29154.2,True,True
Netherlands,LOGISTIC,1615,1906710,1754849,1064.2,8.365e+07,0.02716,1327.0,1827306,291.8,True,True
Luxembourg,LINEAR,86,2402833,1976114,60.3,1.097e+07,0.05309,71.9,2168471,19446.1,True,True
Luxembourg,LOGISTIC,86,71132,65701,55.8,1.639e+05,0.02679,69.2,68116,196.9,True,True
Estonia,LINEAR,292,5947274,4603786,197.7,1.267e+08,0.07294,241.5,5228206,14559.9,True,True
Estonia,LOGISTIC,292,173544,150265,171.2,2.812e+06,0.05548,223.9,160415,212.7,True,True
Latvia,LINEAR,496,7488147,5998293,351.9,2.147e+08,0.05781,418.3,6685422,11276.2,True,True
Latvia,LOGISTIC,496,230313,204280,313.5,4.751e+06,0.04159,404.4,217240,153.3,True,True
Slovenia,LINEAR,306,11727544,10187243,224.2,1.260e+08,0.03512,261.3,10885312,21114.2,True,True
Slovenia,LOGISTIC,306,284255,258518,206.9,2.550e+06,0.02932,254.3,270826,267.5,True,True
Lithuania,LINEAR,582,12327166,9435034,377.9,5.903e+08,0.08229,479.9,10881100,15609.3,True,True
Lithuania,LOGISTIC,582,361093,309221,314.4,1.388e+07,0.06606,429.7,331579,207.4,True,True
Ireland,LINEAR,862,23555517,19583288,627.5,9.316e+08,0.04588,740.9,21504701,17459.5,True,True
Ireland,LOGISTIC,862,630482,574952,564.7,1.651e+07,0.03037,696.7,599608,206.7,True,True
Norway,LINEAR,755,40818616,30476705,429.0,3.371e+09,0.10940,574.8,35102603,32176.1,True,True
Norway,LOGISTIC,755,895553,734254,395.9,5.792e+07,0.08567,543.5,800553,506.3,True,True
Denmark,LINEAR,466,37535777,31993033,332.9,7.379e+08,0.04219,396.3,34634281,46380.3,True,True
Denmark,LOGISTIC,466,860109,765360,300.1,1.572e+07,0.03922,374.8,807998,622.9,True,True
Austria,LINEAR,1129,43066126,34278452,756.0,3.278e+09,0.06742,935.3,38504230,24383.0,True,True
Austria,LOGISTIC,1129,1159014,1004584,632.1,7.673e+07,0.05864,854.6,1073732,308.1,True,True
Portugal,LINEAR,1882,88146125,38134878,819.1,5.315e+10,0.32042,1204.8,56281569,32744.3,True,True
Portugal,LOGISTIC,1882,1536180,1140320,843.9,4.109e+08,0.14214,1244.4,1293030,311.7,True,True
Czechia,LINEAR,1624,44425880,35639759,1136.7,4.281e+09,0.05934,1369.4,39835868,18478.3,True,True
