scen,rung,min_cap,max_cap,n_pharm,n_cells,base,sum_x,travel,base_trav,dtravel_pct,mean_t,strand_pct,urban_fx,below_min,load_p50,load_p90,load_max
S1,A,-,35000,1613,1593,1613,1613.0,6.7691998e7,5.9755488e7,13.28,2.725,1.886,0,0,9876.0,16974.0,30895.0
S1,B,-,35000,1613,1613,1613,1613.0,5.5846237e7,5.9755488e7,-6.54,2.724,0.79,0,0,9928.0,16901.0,29501.0
