region,func,B_facilities,B_travelcost,S1_travelcost,S2_facilities,corner_facilities,corner_travelcost,rect_area_raw,rect_rel,cross_facilities,cross_travelcost,lambda_cross_eur,w_cross,cross_facilitycost_eur,cross_totalcost_eur,s1_bracketed,s2_bracketed,n_frontier_pts
FRD,LOGISTIC,678,390806,365252,503.67,503.67,365252,4.454861e+06,0.016813,586.20,377350,145.45,0.001455,85265,462615,True,True,17
FRE,LINEAR,1333,17445791,14850754,1078.76,1078.76,14850754,6.597693e+08,0.028371,1201.78,16106399,10212.17,0.102122,12272737,28379136,True,True,26
FRE,LOGISTIC,1333,618639,586529,1025.55,1025.55,586529,9.872153e+06,0.011971,1172.87,601915,103.52,0.001035,121411,723326,True,True,18
FRF,LINEAR,1167,21408155,18281608,919.45,919.45,18281608,7.739693e+08,0.030979,1039.87,19802516,12660.00,0.126600,13164780,32967296,True,True,22
FRF,LOGISTIC,1167,636018,593199,858.31,858.31,593199,1.321766e+07,0.017808,1005.23,613579,138.61,0.001386,139336,752915,True,True,15
FRG,LINEAR,850,15248261,13105178,677.19,677.19,13105178,3.703449e+08,0.028574,761.33,14148662,12410.70,0.124107,9448675,23597337,True,True,16
FRG,LOGISTIC,850,439679,412176,644.85,644.85,412176,5.642174e+06,0.015097,743.64,425420,134.24,0.001342,99825,525245,True,True,15
FRH,LINEAR,792,14352220,12115806,603.60,603.60,12115806,4.213430e+08,0.037067,697.17,13226487,12078.92,0.120789,8421005,21647491,True,True,23
FRH,LOGISTIC,792,393105,365614,582.02,582.02,365614,5.772504e+06,0.018541,681.21,378601,132.60,0.001326,90331,468932,True,True,16
FRI,LINEAR,1583,26839141,23036742,1219.32,1219.32,23036742,1.382845e+09,0.032548,1395.42,24877931,10535.23,0.105352,14701089,39579021,True,True,22
FRI,LOGISTIC,1583,728008,677143,1155.13,1155.13,677143,2.176362e+07,0.018885,1363.49,701913,120.06,0.001201,163703,865616,True,True,15
FRJ,LINEAR,1424,23466796,19904964,1109.38,1109.38,19904964,1.120616e+09,0.033535,1261.70,21629377,11326.59,0.113266,14290755,35920132,True,True,23
FRJ,LOGISTIC,1424,694425,646747,1047.55,1047.55,646747,1.794823e+07,0.018150,1226.07,669357,127.15,0.001271,155892,825250,True,True,15
FRK,LINEAR,1685,29387004,25093519,1323.25,1323.25,25093519,1.553174e+09,0.031366,1497.12,27157183,11777.36,0.117774,17632180,44789363,True,True,22
FRK,LOGISTIC,1685,911695,853076,1245.05,1245.05,853076,2.578903e+07,0.016787,1454.53,880987,133.55,0.001335,194249,1075236,True,True,14
FRL,LINEAR,1024,13129909,10289998,783.70,783.70,10289998,6.824198e+08,0.050756,902.98,11699692,11912.00,0.119120,10756340,22456032,True,True,21
FRL,LOGISTIC,1024,514382,479249,738.09,738.09,479249,1.004470e+07,0.019070,877.06,496326,124.39,0.001244,109095,605420,True,True,24
FRM,LINEAR,87,1697760,1376572,61.26,61.26,1376572,8.267939e+06,0.055976,73.48,1529020,12684.86,0.126849,932035,2461055,True,True,22
FRM,LOGISTIC,87,45103,39691,56.69,56.69,39691,1.640314e+05,0.041802,70.93,42233,181.95,0.001820,12906,55139,True,True,19
ITC,LINEAR,3875,29840813,22162486,2945.52,2945.52,22162486,7.136815e+09,0.061719,3403.59,25946503,8385.60,0.083856,28541120,54487623,True,True,21
ITC,LOGISTIC,3875,1467683,1397192,2964.37,2964.37,1397192,6.419103e+07,0.011287,3398.60,1430806,77.38,0.000774,262977,1693783,True,True,16
ITF,LINEAR,3187,26839302,19377079,2368.85,2368.85,19377079,6.105232e+09,0.071375,2755.68,22905324,9178.45,0.091785,25292902,48198226,True,True,26
ITF,LOGISTIC,3187,1260139,1187371,2377.39,2377.39,1187371,5.891422e+07,0.014670,2766.05,1222304,90.95,0.000909,251570,1473874,True,True,22
ITG,LINEAR,1431,12614581,8922039,1072.48,1072.48,8922039,1.323853e+09,0.073338,1241.56,10663505,10254.90,0.102549,12732108,23395613,True,True,26
ITG,LOGISTIC,1431,595400,558060,1064.35,1064.35,558060,1.369074e+07,0.016069,1235.65,575506,101.44,0.001014,125339,700845,True,True,20
ITH,LINEAR,2993,32030405,25622766,2281.60,2281.60,25622766,4.558369e+09,0.047549,2623.91,28705995,9041.82,0.090418,23724950,52430945,True,True,24
ITH,LOGISTIC,2993,1169908,1104082,2250.97,2250.97,1104082,4.884453e+07,0.013949,2606.05,1135581,89.05,0.000890,232061,1367643,True,True,14
ITI,LINEAR,2709,27077951,20956189,2049.49,2049.49,20956189,4.037343e+09,0.055039,2364.60,23881082,9285.53,0.092855,21956525,45837608,True,True,23
ITI,LOGISTIC,2709,1138518,1077476,2039.05,2039.05,1077476,4.089492e+07,0.013259,2357.14,1106459,91.57,0.000916,215847,1322306,True,True,16
SE1,LINEAR,387,23310739,16971210,220.76,220.76,16971210,1.053876e+09,0.116821,300.50,20012182,39083.23,0.390832,11744640,31756822,True,True,27
SE1,LOGISTIC,387,571510,482437,198.27,198.27,482437,1.681056e+07,0.076006,283.28,522559,478.09,0.004781,135433,657992,True,True,24
SE2,LINEAR,452,32421787,25281323,278.27,278.27,25281323,1.240513e+09,0.084650,359.16,28605816,41545.91,0.415459,14921467,43527283,True,True,28
SE2,LOGISTIC,452,715530,603668,260.11,260.11,603668,2.146501e+07,0.066369,347.14,654400,578.57,0.005786,200845,855245,True,True,29
SE3,LINEAR,246,16444582,13513244,167.72,167.72,13513244,2.294563e+08,0.056721,203.89,14867796,37623.66,0.376237,7671250,22539047,True,True,31
SE3,LOGISTIC,246,348816,295229,158.81,158.81,295229,4.672256e+06,0.054450,198.70,319744,626.16,0.006262,124417,444161,True,True,24
PL2,LINEAR,1442,24487849,19413538,1022.51,1022.51,19413538,2.128622e+09,0.060281,1226.79,21884550,12296.62,0.122966,15085335,36969884,True,True,21
PL2,LOGISTIC,1442,811247,752603,978.83,978.83,752603,2.716192e+07,0.023219,1198.89,780466,127.15,0.001271,152437,932902,True,True,16
PL4,LINEAR,1200,21495118,17964583,905.70,905.70,17964583,1.039040e+09,0.040282,1051.29,19711164,12137.78,0.121378,12760352,32471516,True,True,24
PL4,LOGISTIC,1200,675702,625957,833.85,833.85,625957,1.821423e+07,0.022463,1005.13,649227,136.85,0.001369,137554,786781,True,True,17
PL5,LINEAR,688,12763464,10445550,508.17,508.17,10445550,4.168224e+08,0.047467,594.03,11552217,12998.65,0.129987,7721590,19273807,True,True,22
PL5,LOGISTIC,688,411217,380102,470.23,470.23,380102,6.775860e+06,0.023950,571.43,394562,141.29,0.001413,80737,475298,True,True,24
PL6,LINEAR,1023,21062505,17249949,754.69,754.69,17249949,1.022946e+09,0.047475,880.81,19042018,14084.04,0.140840,12405333,31447352,True,True,22
PL6,LOGISTIC,1023,642344,588492,699.14,699.14,588492,1.744075e+07,0.026541,852.73,614031,168.30,0.001683,143516,757547,True,True,17
PL7,LINEAR,675,13580945,11479969,506.06,506.06,11479969,3.549436e+08,0.038719,586.24,12477067,12466.16,0.124662,7308110,19785177,True,True,26
PL7,LOGISTIC,675,404577,375529,469.59,469.59,375529,5.966623e+06,0.021849,565.15,389042,141.02,0.001410,79697,468739,True,True,22
PL8,LINEAR,1065,22928948,18898579,755.10,755.10,18898579,1.249025e+09,0.051149,901.32,20800195,13053.16,0.130532,11765022,32565217,True,True,23
PL8,LOGISTIC,1065,618647,562620,701.41,701.41,562620,2.037071e+07,0.030918,870.53,588680,153.74,0.001537,133833,722514,True,True,23
PL9,LINEAR,933,17516050,14267198,691.47,691.47,14267198,7.846849e+08,0.048015,806.22,15810743,13446.63,0.134466,10840993,26651736,True,True,25
PL9,LOGISTIC,933,590862,548421,648.85,648.85,548421,1.205993e+07,0.021876,781.21,568191,149.27,0.001493,116614,684805,True,True,24
France,LINEAR,13408,214536795,181058874,10568.90,10568.90,181058874,9.504711e+10,0.033043,11938.78,197212170,11714.36,0.117144,139855173,337067343,True,True,72
France,LOGISTIC,13408,7080828,6647358,10025.91,10025.91,6647358,1.466037e+09,0.015442,11636.62,6853798,127.34,0.001273,1481843,8335640,True,True,60
Italy,LINEAR,14195,128403052,97027551,10704.37,10704.37,97027551,1.095203e+11,0.060087,12375.57,112049121,9026.01,0.090260,111702048,223751170,True,True,41
Italy,LOGISTIC,14195,5631648,5323892,10714.95,10714.95,5323892,1.071009e+09,0.013397,12353.96,5468837,87.51,0.000875,1081040,6549876,True,True,29
Sweden,LINEAR,1085,72177108,55756330,667.02,667.02,55756330,6.863605e+09,0.087644,862.99,63455215,39324.80,0.393248,33936846,97392061,True,True,45
Sweden,LOGISTIC,1085,1635856,1381265,616.18,616.18,1381265,1.193568e+08,0.067247,826.93,1495712,545.46,0.005455,451055,1946767,True,True,49
Poland,LINEAR,7026,133834879,109733360,5137.91,5137.91,109733360,4.550579e+10,0.048394,6040.42,121253862,12790.35,0.127903,77259023,198512885,True,True,62
Poland,LOGISTIC,7026,4154596,3833497,4791.19,4791.19,3833497,7.175942e+08,0.024583,5824.82,3982009,143.73,0.001437,837185,4819194,True,True,56
AGGREGATE,LINEAR,51350,964560939,740544886,35816.23,35816.23,740544886,3.479813e+12,0.070256,43098.36,845562131,14034.33,0.140343,604856411,1450418542,True,True,163
AGGREGATE,LOGISTIC,51350,30367874,27424458,33420.84,33420.84,27424458,5.277298e+10,0.033842,41671.77,28779007,154.91,0.001549,6455437,35234443,True,True,197
