area,name,level,country,oecd_archetype,archetype_name,residents,pharmacy_locations_today,residents_per_location,mean_travel_min_today,cross_lambda_eur_linear,w_cross_linear,crossing_locations_linear,crossing_travel_change_pct_linear,crossing_locations_change_pct_linear,s1_travel_change_pct_linear,s2_locations_change_pct_linear,cross_lambda_eur_logistic,w_cross_logistic,crossing_locations_logistic,crossing_cost_change_pct_logistic,crossing_locations_change_pct_logistic,s1_cost_change_pct_logistic,s2_locations_change_pct_logistic
ITF,Sud,NUTS-1,Italy,1,Rule-of-law–anchored,13317109,3187,4179,2.02,9178,0.09179,2756,-14.7,-13.5,-27.8,-25.7,91,0.000909,2766,-3.0,-13.2,-5.8,-25.4
ITG,Isole,NUTS-1,Italy,1,Rule-of-law–anchored,6279660,1431,4388,2.01,10255,0.10255,1242,-15.5,-13.2,-29.3,-25.1,101,0.001014,1236,-3.3,-13.7,-6.3,-25.6
ITH,Nord-Est,NUTS-1,Italy,1,Rule-of-law–anchored,11518414,2993,3848,2.78,9042,0.09042,2624,-10.4,-12.3,-20.0,-23.8,89,0.000890,2606,-2.9,-12.9,-5.6,-24.8
ITI,Centro,NUTS-1,Italy,1,Rule-of-law–anchored,11691689,2709,4316,2.32,9286,0.09285,2365,-11.8,-12.7,-22.6,-24.3,92,0.000916,2357,-2.8,-13.0,-5.4,-24.7
SE1,Östra Sverige,NUTS-1,Sweden,3,Public-interest majoritarian,4072100,387,10522,5.72,39083,0.39083,300,-14.2,-22.4,-27.2,-43.0,478,0.004781,283,-8.6,-26.8,-15.6,-48.8
SE2,Södra Sverige,NUTS-1,Sweden,3,Public-interest majoritarian,4403578,452,9742,7.36,41546,0.41546,359,-11.8,-20.5,-22.0,-38.4,579,0.005786,347,-8.5,-23.2,-15.6,-42.5
SE3,Norra Sverige,NUTS-1,Sweden,3,Public-interest majoritarian,1734093,246,7049,9.48,37624,0.37624,204,-9.6,-17.1,-17.8,-31.8,626,0.006262,199,-8.3,-19.2,-15.4,-35.4
PL2,Południowy,NUTS-1,Poland,1,Rule-of-law–anchored,7638131,1442,5297,3.21,12297,0.12297,1227,-10.6,-14.9,-20.7,-29.1,127,0.001271,1199,-3.8,-16.9,-7.2,-32.1
PL4,Północno-Zachodni,NUTS-1,Poland,1,Rule-of-law–anchored,6028979,1200,5024,3.57,12138,0.12138,1051,-8.3,-12.4,-16.4,-24.5,137,0.001369,1005,-3.9,-16.2,-7.4,-30.5
PL5,Południowo-Zachodni,NUTS-1,Poland,1,Rule-of-law–anchored,3742403,688,5440,3.41,12999,0.12999,594,-9.5,-13.7,-18.2,-26.1,141,0.001413,571,-4.1,-16.9,-7.6,-31.7
PL6,Północny,NUTS-1,Poland,1,Rule-of-law–anchored,5579176,1023,5454,3.78,14084,0.14084,881,-9.6,-13.9,-18.1,-26.2,168,0.001683,853,-4.4,-16.6,-8.4,-31.7
PL7,Centralny,NUTS-1,Poland,1,Rule-of-law–anchored,3535876,675,5238,3.84,12466,0.12466,586,-8.1,-13.1,-15.5,-25.0,141,0.001410,565,-3.8,-16.3,-7.2,-30.4
PL8,Wschodni,NUTS-1,Poland,1,Rule-of-law–anchored,5057001,1065,4748,4.53,13053,0.13053,901,-9.3,-15.4,-17.6,-29.1,154,0.001537,871,-4.8,-18.3,-9.1,-34.1
PL9,Mazowiecki,NUTS-1,Poland,1,Rule-of-law–anchored,5481989,933,5876,3.20,13447,0.13447,806,-9.7,-13.6,-18.5,-25.9,149,0.001493,781,-3.8,-16.3,-7.2,-30.5
